31,31,0,4,13,0.986328125,0.9841959635416667
31,31,0,4,8,0.99169921875,0.9841959635416667
31,31,0,4,31,0.98583984375,0.9841959635416667
29,30,0,5,7,0.98876953125,0.9827906831781915
29,30,0,5,4,0.990234375,0.9827906831781915
29,30,0,5,5,0.9892578125,0.9827906831781915
31,31,0,4,11,0.98291015625,0.9841959635416667
31,31,0,4,22,0.9814453125,0.9841959635416667
29,30,0,5,8,0.986328125,0.9827906831781915
31,31,0,4,10,0.98974609375,0.9841959635416667
31,31,0,4,9,0.9892578125,0.9841959635416667
29,29,0,5,7,0.99658203125,0.9827906831781915
31,31,0,4,27,0.9892578125,0.9841959635416667
31,31,0,4,2,0.990234375,0.9841959635416667
29,29,0,5,30,0.98779296875,0.9827906831781915
29,29,0,5,13,0.9931640625,0.9827906831781915
29,29,0,5,4,0.99658203125,0.9827906831781915
29,29,0,5,6,0.99658203125,0.9827906831781915
29,30,0,5,0,0.9814453125,0.9827906831781915
31,31,0,4,17,0.98486328125,0.9841959635416667
29,29,0,5,15,0.99267578125,0.9827906831781915
29,29,0,5,17,0.9921875,0.9827906831781915
31,31,0,4,19,0.9853515625,0.9841959635416667
31,31,0,4,5,0.99267578125,0.9841959635416667
29,29,0,5,14,0.9921875,0.9827906831781915
29,29,0,5,12,0.99267578125,0.9827906831781915
29,29,0,5,1,0.99169921875,0.9827906831781915
26,28,0,25,2,0.9912109375,0.9827585320723684
31,31,0,4,29,0.98388671875,0.9841959635416667
29,30,0,5,6,0.9853515625,0.9827906831781915
29,29,0,5,28,0.986328125,0.9827906831781915
29,30,0,5,28,0.9853515625,0.9827906831781915
29,29,0,5,29,0.98876953125,0.9827906831781915
29,30,0,5,23,0.9892578125,0.9827906831781915
29,29,0,5,19,0.99072265625,0.9827906831781915
29,29,0,5,10,0.98193359375,0.9827906831781915
29,29,0,5,16,0.98876953125,0.9827906831781915
29,30,0,5,16,0.98828125,0.9827906831781915
31,31,0,4,15,0.98876953125,0.9841959635416667
26,28,0,25,1,0.9912109375,0.9827585320723684
31,31,0,4,6,0.99072265625,0.9841959635416667
26,28,0,25,19,0.98828125,0.9827585320723684
29,30,0,5,20,0.9853515625,0.9827906831781915
29,29,0,5,18,0.99072265625,0.9827906831781915
31,31,0,4,28,0.982421875,0.9841959635416667
26,28,0,25,16,0.98681640625,0.9827585320723684
29,30,0,5,10,0.984375,0.9827906831781915
31,31,0,4,1,0.9873046875,0.9841959635416667
26,28,0,25,28,0.9892578125,0.9827585320723684
31,31,0,4,26,0.98583984375,0.9841959635416667
26,28,0,25,3,0.98876953125,0.9827585320723684
